movie_id,preference_key,movie_title,star_cast,rating,year,place,vote,link
153,1,Sin lugar para los débiles,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.141503697,2007,153,,/title/tt0477348/
154,2,Toro salvaje,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.139851024,1980,154,,/title/tt0081398/
155,3,El hombre elefante,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.138659485,1980,155,,/title/tt0080678/
156,4,V de Venganza,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.138484323,2005,156,,/title/tt0434409/
157,1,Lo que el viento se llevó,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.137421877,1939,157,,/title/tt0031381/
158,2,Barrio Chino,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.135788123,1974,158,,/title/tt0071315/
159,3,Intensa Mente,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.134532396,2015,159,,/title/tt2096673/
160,4,"Juegos, trampas y dos armas humeantes","Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.132337082,1998,160,,/title/tt0120735/
161,1,La cosa del otro mundo,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.130875603,1982,161,,/title/tt0084787/
162,2,Con M de Muerte,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.124860916,1954,162,,/title/tt0046912/
163,3,El secreto de sus ojos,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.123818361,2009,163,,/title/tt1305806/
164,4,El increíble castillo vagabundo,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.123294715,2004,164,,/title/tt0347149/
165,1,El puente sobre el río Kwai,"David Lean (dir.), William Holden, Alec Guinness",8.121519648,1957,165,,/title/tt0050212/
166,2,La vida en el abismo,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.118965282,1996,166,,/title/tt0117951/
167,3,Tres anuncios por un crimen,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.117593654,2017,167,,/title/tt5027774/
168,4,La última pelea,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.117452678,2011,168,,/title/tt1291584/
169,1,Gran Torino,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.115313716,2008,169,,/title/tt1205489/
170,2,"Fargo, secuestro voluntario","Joel Coen (dir.), William H. Macy, Frances McDormand",8.10997396,1996,170,,/title/tt0116282/
171,3,Mi vecino Totoro,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.104771885,1988,171,,/title/tt0096283/
172,4,Intriga,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.099851434,2013,172,,/title/tt1392214/
173,1,Golpes del destino,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.098028582,2004,173,,/title/tt0405159/
174,2,Blade Runner,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.095086188,1982,174,,/title/tt0083658/
175,3,La quimera del oro,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.094522729,1925,175,,/title/tt0015864/
176,4,Atrápame si puedes,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.094187287,2002,176,,/title/tt0264464/
177,1,Nido de ratas,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.093362889,1954,177,,/title/tt0047296/
178,2,Los niños del cielo,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.090705638,1997,178,,/title/tt0118849/
179,3,Harry Potter y las reliquias de la muerte 2,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.089623587,2011,179,,/title/tt1201607/
180,4,El tercer hombre,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.089308274,1949,180,,/title/tt0041959/
181,1,Perdida,"David Fincher (dir.), Ben Affleck, Rosamund Pike",8.086267443,2014,181,,/title/tt2267998/
182,2,Ben-Hur,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.085565749,1959,182,,/title/tt0052618/
183,3,12 años esclavo,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.085394086,2013,183,,/title/tt2024544/
184,4,El general,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.084213479,1926,184,,/title/tt0017925/
185,1,El francotirador,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.083663593,1978,185,,/title/tt0077416/
186,2,Las fresas silvestres,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.081673328,1957,186,,/title/tt0050986/
187,3,Antes del amanecer,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",8.081096626,1995,187,,/title/tt0112471/
188,4,En el nombre del padre,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.080579615,1993,188,,/title/tt0107207/
189,1,Pather Panchali,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee",8.079441438,1955,189,,/title/tt0048473/
190,2,Caballero sin espada,"Frank Capra (dir.), James Stewart, Jean Arthur",8.07833228,1939,190,,/title/tt0031679/
191,3,El gran hotel Budapest,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",8.078030923,2014,191,,/title/tt2278388/
192,4,Room,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.077465467,2015,192,,/title/tt3170832/
193,1,Sherlock Jr,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.075777755,1924,193,,/title/tt0015324/
194,2,Hasta el último hombre,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.075448339,2016,194,,/title/tt2119532/
195,3,Cómo entrenar a tu dragón,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.074670522,2010,195,,/title/tt0892769/
196,4,Salinui chueok,"Bong Joon Ho (dir.), Kang-ho Song, Kim Sang-kyung",8.074355701,2003,196,,/title/tt0353969/
197,1,El salario del miedo,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.074293663,1953,197,,/title/tt0046268/
198,2,El séptimo sello,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.073380395,1957,198,,/title/tt0050976/
199,3,Barry Lyndon,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.073140681,1975,199,,/title/tt0072684/
200,4,Identidad peligrosa,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.071835857,1998,200,,/title/tt0118715/
201,1,Klaus,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",8.071804501,2019,201,,/title/tt4729430/
202,2,Mad Max: Furia en el camino,"George Miller (dir.), Tom Hardy, Charlize Theron",8.071625257,2015,202,,/title/tt1392190/
203,3,Relatos salvajes,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.070377698,2014,203,,/title/tt3011894/
204,4,"Monsters, Inc","Pete Docter (dir.), Billy Crystal, John Goodman",8.068116501,2001,204,,/title/tt0198781/
205,1,Mary and Max,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.066282916,2009,205,,/title/tt0978762/
206,2,Tiburón,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",8.066009167,1975,206,,/title/tt0073195/
